year,date,time,depth,group,common name,genus species,number
1999,14-15May,evening,10,nudibranch,Armina,Armina californica,1
1999,14-15May,night,25,crab,red rock crab (f),Cancer productus,1
1999,14-15May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,1
1999,14-15May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,1
1999,14-15May,night,25,shrimp,crangon shrimp,Crangon alaskensis,7
1999,14-15May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,2
1999,14-15May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,8
1999,14-15May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,2
1999,14-15May,night,50,shrimp,crangon shrimp,Crangon alaskensis,9
1999,14-15May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,8
1999,14-15May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,35
1999,14-15May,night,70,shrimp,crangon shrimp,Crangon alaskensis,16
1999,14-15May,night,10,squid,market squid,Doryteuthis opalescens,1
1999,14-15May,afternoon,50,sea star,vermilion star,Mediaster aequalis,1
1999,14-15May,early morning,70,sea star,vermilion star,Mediaster aequalis,2
1999,14-15May,evening,70,sea star,vermilion star,Mediaster aequalis,3
1999,14-15May,morning,70,sea star,vermilion star,Mediaster aequalis,2
1999,14-15May,night,70,sea star,vermilion star,Mediaster aequalis,5
1999,14-15May,early morning,50,crab,Dungeness crab (f),Metacarcinus magister,1
1999,14-15May,evening,50,crab,Dungeness crab (f),Metacarcinus magister,1
1999,14-15May,morning,70,crab,Dungeness crab (f),Metacarcinus magister,1
1999,14-15May,night,70,crab,Dungeness crab (f),Metacarcinus magister,1
1999,14-15May,early morning,25,crab,Dungeness crab (m),Metacarcinus magister,1
1999,14-15May,night,50,crab,Dungeness crab (m),Metacarcinus magister,1
1999,14-15May,afternoon,50,sea anemone,plumose anemone,Metridium senile,1
1999,14-15May,early morning,50,sea anemone,plumose anemone,Metridium senile,1
1999,14-15May,afternoon,70,sea anemone,plumose anemone,Metridium senile,3
1999,14-15May,early morning,70,sea anemone,plumose anemone,Metridium senile,1
1999,14-15May,night,70,sea anemone,plumose anemone,Metridium senile,8
1999,14-15May,early morning,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,1
1999,14-15May,afternoon,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,1
