Counts of macroinvertebrates from spring 1997 Port Madison survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAWL,1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,,,,,,,,
DEPTH,10,25,50,70,10,25,50,70,10,25,50,70,10,25,50,70,10,25,50,70,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
echinoderms ,,,,,,,,,,,,,,,,,,,,,,,,,,,echinoderms (sea stars) ,coelenterates
sea stars,,,,,,,,,,,,,,,,,,,,,,,,,,,Solaster stimpsoni,Ptilosarcus gurneyi (sea pen)
Solaster stimpsoni,,,5,2,,,3,6,1,,,1,2,,4,5,,,,3,,,,,,,Mediaster equalis,Metridium (anemone)
Mediaster equalis,,,,4,,,,3,,,,4,,,,6,,,,1,,,,,,,Crossaster paposus,
Crossaster paposus,,,,,,,,1,,,,1,,,,,,,,,,,,,,,Pycnopodia helianthoides,crustaceans
Pycnopodia helianthoides,,,,,1,,,,,,,,1,,,,2,,,,,,,,,,Evasterias troschelli,Alaskan pink shrimp
Evasterias troschelli,,,,,,,,,,,,,1,,,,1,,,,,,,,,,Parastichopus (Sea cucumber),San Francisco Bay shrimp
Parastichopus (Sea cucumber),,,,,,,,,1,,,,,,,,,,,,,,,,,,,Crangon (sand) shrimp
,,,,,,,,,,,,,,,,,,,,,,,,,,,molluscs,Humpy shrimp
molluscs,,,,,,,,,,,,,,,,,,,,,,,,,,,stubby squid,Coon-striped shrimp
stubby squid,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,nudibranchs,Northern Kelp crab
nudibranchs,,,,,,,,,,,,,,,,,,,,,,,,,,,Armina californica,Hermit crab
Armina californica,,1,,,,,,,,,,,2,,,,1,,,,,,,,,,Tritonia diomedia ,Cancer magister (Dungeness crab)
Tritonia diomedia ,,,,,,,,,,,1,,,,,,,,,,,,,,,,nut clam,Cancer productus (red rock crab)
nut clam,,,,261,,,,314,,,,,,,,150,,,,144,,,,,,,Loligo opalescens (squid),Oregonia gracilis (graceful decorator crab)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer gracilis
coelenterates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptilosarcus gurneyi (sea pen),24,,,,14,,,,14,,,,,2,,,21,2,,,,,,,,,,
Metridium (anemone),,,2,,,,11,13,,1,,,,,,5,,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crustaceans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan pink shrimp,,,182,126,,,252,54,,,297,54,,,166,120,,,250,200,,,,,,,,
San Francisco Bay shrimp,,1,,16,,,,,,,6,2,,,,,,,,,,,,,,,,
Crangon (sand) shrimp,,,,,,,,20,,,4,,5,,21,5,4,6,2,7,,,,,,,,
Humpy shrimp,,,,30,,,,,,,,,,,,23,,,,20,,,,,,,,
Coon-striped shrimp,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Northern Kelp crab,,1,,,,,,,1,,,,2,,,,1,,,,,,,,,,,
Hermit crab,,,,,,,,,,,,,2,1,,,,1,,,,,,,,,,
Cancer magister (Dungeness crab),,,,,2,,2,,,,,,1,,,,,,,,,,,,,,,
Cancer productus (red rock crab),,,,,1,1,,,1,,,,1,,,1,2,,,,,,,,,,,
Oregonia gracilis (graceful decorator crab),,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
Cancer gracilis,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
